date,week_id,account,ticker,expiry,strike,contracts,premium,cash_reserved,tier
2026-01-21,2026-W04,INDIVIDUAL,RKLB,2026-02-20,75.00,1,342.50,7500.00,BALANCED
2026-01-21,2026-W04,INDIVIDUAL,PL,2026-02-20,22.00,4,340.00,8800.00,BALANCED
2026-01-26,2026-W05,INDIVIDUAL,CELH,2026-02-20,50.00,2,283.00,10000.00,BALANCED
2026-01-26,2026-W05,INDIVIDUAL,F,2026-02-20,13.00,7,252.00,9100.00,BALANCED
2026-02-02,2026-W06,INDIVIDUAL,INTC,2026-02-27,44.00,2,221.00,8800.00,CONSERVATIVE
2026-02-06,2026-W06,INDIVIDUAL,ASTS,2026-03-06,95.00,1,1325.00,9500.00,AGGRESSIVE
2026-02-13,2026-W07,INDIVIDUAL,ON,2026-03-13,60.00,1,106.50,6000.00,CONSERVATIVE
2026-02-17,2026-W08,INDIVIDUAL,MCHP,2026-03-20,72.50,1,242.50,7250.00,BALANCED
2026-02-20,2026-W08,INDIVIDUAL,PL,2026-03-20,21.00,3,592.50,6300.00,AGGRESSIVE
2026-02-23,2026-W09,INDIVIDUAL,TQQQ,2026-03-20,45.00,1,229.50,4500.00,BALANCED
2026-02-24,2026-W09,INDIVIDUAL,INTC,2026-03-27,43.00,1,190.00,4300.00,BALANCED
2026-02-27,2026-W09,IRA,C,2026-03-27,102.00,1,185.00,10200.00,BALANCED
2026-02-27,2026-W09,ROTH,WMT,2026-03-27,120.00,1,124.50,12000.00,CONSERVATIVE
2026-03-03,2026-W10,INDIVIDUAL,XOM,2026-04-02,142.00,1,261.50,14200.00,BALANCED
2026-03-04,2026-W10,IRA,XLE,2026-03-31,52.50,3,207.00,15750.00,CONSERVATIVE
2026-03-09,2026-W11,INDIVIDUAL,TGT,2026-04-10,110.00,1,178.00,11000.00,BALANCED
2026-03-17,2026-W12,INDIVIDUAL,ON,2026-04-17,55.00,3,460.50,16500.00,AGGRESSIVE
2026-03-17,2026-W12,IRA,MRK,2026-04-17,105.00,1,107.00,10500.00,CONSERVATIVE
2026-03-17,2026-W12,ROTH,SBUX,2026-04-17,90.00,1,106.50,9000.00,CONSERVATIVE
2026-03-18,2026-W12,ROTH,BMY,2026-04-17,55.00,1,61.00,5500.00,CONSERVATIVE
2026-03-18,2026-W12,IRA,XLE,2026-04-17,55.00,1,61.00,5500.00,CONSERVATIVE
2026-04-08,2026-W15,INDIVIDUAL,NVDA,2026-05-08,170.00,1,296.50,17000.00,BALANCED
2026-04-09,2026-W15,IRA,PLTR,2026-04-24,120.00,2,438.00,24000.00,BALANCED
2026-04-10,2026-W15,ROTH,XLE,2026-05-08,53.00,3,141.00,15900.00,CONSERVATIVE
2026-04-14,2026-W16,INDIVIDUAL,NVDA,2026-05-15,175.00,1,209.50,17500.00,CONSERVATIVE
2026-04-14,2026-W16,IRA,TGT,2026-05-15,110.00,2,302.00,22000.00,CONSERVATIVE
2026-04-15,2026-W16,INDIVIDUAL,TGT,2026-05-15,115.00,1,171.00,11500.00,CONSERVATIVE
2026-04-15,2026-W16,IRA,NVDA,2026-05-15,175.00,1,148.50,17500.00,CONSERVATIVE
2026-04-18,2026-W16,INDIVIDUAL,TJX,2026-05-15,155.00,1,177.50,15500.00,CONSERVATIVE
2026-04-22,2026-W17,INDIVIDUAL,BAC,2026-05-22,50.00,3,151.50,15000.00,CONSERVATIVE
2026-04-22,2026-W17,IRA,XLV,2026-05-22,141.00,1,115.00,14100.00,CONSERVATIVE
2026-04-23,2026-W17,INDIVIDUAL,XLE,2026-05-22,54.00,1,67.00,5400.00,CONSERVATIVE
2026-04-27,2026-W18,INDIVIDUAL,C,2026-05-22,120.00,1,168.50,12000.00,CONSERVATIVE
2026-04-28,2026-W18,INDIVIDUAL,INTC,2026-05-29,60.00,1,64.50,6000.00,CONSERVATIVE
2026-04-29,2026-W18,INDIVIDUAL,XLE,2026-05-29,55.00,1,61.00,5500.00,CONSERVATIVE
2026-05-04,2026-W19,INDIVIDUAL,COP,2026-05-29,119.00,1,244.50,11900.00,BALANCED
2026-05-04,2026-W19,IRA,CVX,2026-05-29,180.00,1,196.50,18000.00,CONSERVATIVE
2026-05-04,2026-W19,ROTH,XLE,2026-05-29,56.00,3,172.50,16800.00,CONSERVATIVE
2026-05-04,2026-W19,INDIVIDUAL,BAC,2026-05-29,50.00,1,53.00,5000.00,CONSERVATIVE
2026-05-11,2026-W20,INDIVIDUAL,BAC,2026-06-05,48.00,3,156.00,14400.00,CONSERVATIVE
2026-05-12,2026-W20,IRA,INTC,2026-06-12,85.00,2,211.00,17000.00,CONSERVATIVE
