id,account,open_date,week_id,ticker,expiry,dte_open,strike,contracts,premium,fill_premium,cash_reserved,tier,status,close_date,close_type,underlying_close_at_expiry,shares_if_assigned,assignment_cost_basis,notes
RKLB-2026-02-20-75.00-2026-01-21,INDIVIDUAL,2026-01-21,2026-W04,RKLB,2026-02-20,30,75.00,1,342.50,,7500.00,BALANCED,ASSIGNED,2026-02-20,ASSIGNED_ITM,70.86,100,7157.50,
PL-2026-02-20-22.00-2026-01-21,INDIVIDUAL,2026-01-21,2026-W04,PL,2026-02-20,30,22.00,4,340.00,,8800.00,BALANCED,EXPIRED,2026-02-20,EXPIRED_OTM,23.90,,,
CELH-2026-02-20-50.00-2026-01-26,INDIVIDUAL,2026-01-26,2026-W05,CELH,2026-02-20,25,50.00,2,283.00,,10000.00,BALANCED,ASSIGNED,2026-02-20,ASSIGNED_ITM,48.32,200,9717.00,
F-2026-02-20-13.00-2026-01-26,INDIVIDUAL,2026-01-26,2026-W05,F,2026-02-20,25,13.00,7,252.00,,9100.00,BALANCED,EXPIRED,2026-02-20,EXPIRED_OTM,14.01,,,
INTC-2026-02-27-44.00-2026-02-02,INDIVIDUAL,2026-02-02,2026-W06,INTC,2026-02-27,25,44.00,2,221.00,,8800.00,CONSERVATIVE,CLOSED_TP,2026-02-24,CLOSED_TAKE_PROFIT,,,,TP at 50%: orig $221 → current $97 | profit $124
ASTS-2026-03-06-95.00-2026-02-06,INDIVIDUAL,2026-02-06,2026-W06,ASTS,2026-03-06,28,95.00,1,1325.00,,9500.00,AGGRESSIVE,ASSIGNED,2026-02-26,ASSIGNED_EARLY,85.76,100,8175.00,
ON-2026-03-13-60.00-2026-02-13,INDIVIDUAL,2026-02-13,2026-W07,ON,2026-03-13,28,60.00,1,106.50,,6000.00,CONSERVATIVE,CLOSED_TP,2026-02-26,CLOSED_TAKE_PROFIT,,,,TP at 50%: orig $106 → current $39 | profit $68
MCHP-2026-03-20-72.50-2026-02-17,INDIVIDUAL,2026-02-17,2026-W08,MCHP,2026-03-20,31,72.50,1,242.50,,7250.00,BALANCED,ASSIGNED,2026-03-20,ASSIGNED_ITM,63.58,100,7007.50,
PL-2026-03-20-21.00-2026-02-20,INDIVIDUAL,2026-02-20,2026-W08,PL,2026-03-20,28,21.00,3,592.50,,6300.00,AGGRESSIVE,CLOSED_TP,2026-03-11,CLOSED_TAKE_PROFIT,,,,TP at 50%: orig $592 → current $292 | profit $300
TQQQ-2026-03-20-45.00-2026-02-23,INDIVIDUAL,2026-02-23,2026-W09,TQQQ,2026-03-20,25,45.00,1,229.50,,4500.00,BALANCED,CLOSED_TP,2026-03-10,CLOSED_TAKE_PROFIT,,,,TP at 50%: orig $230 → current $88 | profit $141
