date,account,ticker,event_type,amount,net,notes
2026-02-02,INDIVIDUAL,INTC,CSP_OPEN,+221.00,,44.00P exp 2026-02-27 x2
2026-02-06,INDIVIDUAL,ASTS,CSP_OPEN,+1325.00,,95.00P exp 2026-03-06
2026-02-13,INDIVIDUAL,ON,CSP_OPEN,+106.50,,60.00P exp 2026-03-13
2026-02-17,INDIVIDUAL,MCHP,CSP_OPEN,+242.50,,72.50P exp 2026-03-20
2026-02-20,INDIVIDUAL,CELH,CC_OPEN,+564.00,,50.00C exp 2026-03-06 x2
2026-02-20,INDIVIDUAL,F,CSP_EXPIRED,+0.00,252.00,expired worthless
2026-02-20,INDIVIDUAL,PL,CSP_OPEN,+592.50,,21.00P exp 2026-03-20 x3
2026-02-20,INDIVIDUAL,PL,CSP_EXPIRED,+0.00,340.00,expired worthless
2026-02-20,INDIVIDUAL,RKLB,CC_OPEN,+402.50,,75.00C exp 2026-03-06
2026-02-23,INDIVIDUAL,TQQQ,CSP_OPEN,+229.50,,45.00P exp 2026-03-20
2026-02-24,INDIVIDUAL,INTC,CSP_OPEN,+190.00,,43.00P exp 2026-03-27
2026-02-24,INDIVIDUAL,INTC,CSP_CLOSE_TP,-97.00,124.00,TP buyback — net $124
2026-02-26,INDIVIDUAL,ASTS,CC_OPEN,+513.60,,95.00C exp 2026-03-13
2026-02-26,INDIVIDUAL,ON,CSP_CLOSE_TP,-39.00,67.50,TP buyback — net $68
2026-02-27,INDIVIDUAL,RKLB,CC_CLOSE_TP,-63.50,339.00,CC TP buyback — net $339
2026-02-27,INDIVIDUAL,RKLB,CC_OPEN,+147.85,,75.00C exp 2026-03-13
,,NET_PREMIUM,,+4335.45,,
