date,account,ticker,event_type,amount,net,notes
2026-03-04,IRA,XLE,CSP_OPEN,+207.00,,52.50P exp 2026-03-31 x3
2026-03-12,IRA,XLE,CSP_CLOSE_TP,-73.50,133.50,TP buyback — net $134
2026-03-17,IRA,C,CSP_CLOSE_TP,-91.50,93.50,TP buyback — net $94
2026-03-17,IRA,MRK,CSP_OPEN,+107.00,,105.00P exp 2026-04-17
2026-03-17,ROTH,SBUX,CSP_OPEN,+106.50,,90.00P exp 2026-04-17
2026-03-17,ROTH,WMT,CSP_CLOSE_TP,-59.50,65.00,TP buyback — net $65
2026-03-18,ROTH,BMY,CSP_OPEN,+61.00,,55.00P exp 2026-04-17
2026-03-18,IRA,XLE,CSP_OPEN,+61.00,,55.00P exp 2026-04-17
2026-03-24,IRA,XLE,CSP_CLOSE_TP,-29.00,32.00,TP buyback — net $32
2026-03-25,IRA,MRK,CSP_CLOSE_TP,-42.50,64.50,TP buyback — net $64
2026-03-31,ROTH,BMY,CSP_CLOSE_TP,-29.00,32.00,TP buyback — net $32
,,NET_PREMIUM,,+217.50,,
